thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_115,real,r3,praise_thanks,auto,"Simple thanks, nothing to resolve.",pass,"Polite close-out, no PII, matches resolved thanks."
g_real_117,real,r3,account_access,escalate,"SSN posted publicly plus still unresolved; human should step in.",pass,"Warns against public SSN, routes to secure DM plus reset step."
g_real_90,real,r3,account_access,auto,"Cooperative login issue with clear DM handoff.",pass,"Secure DM path, warns against public sharing, polite."
g_real_73,real,r3,card_delivery,auto,"Cooperative card tracking with DM path.",pass,"Asks for mailing address via DM only, polite and on-task."
g_real_96,real,r3,greeting_smalltalk,auto,"Hours greeting, no sensitive need.",pass,"Friendly generic reply, no PII, no overreach."
g_real_109,real,r3,billing_charge_dispute,escalate,"Sustained anger on second wrong fee plus account posted and still unresolved.",pass,"Acknowledges frustration and routes to specialist via DM."
g_real_92,real,r3,refund_request,auto,"Cooperative refund check with DM path.",pass,"Asks for order details via DM, polite and on-task."
g_real_80,real,r3,account_access,auto,"Cooperative login issue with clear DM handoff.",pass,"Secure DM path, warns against public sharing, polite."
g_real_28,real,r3,card_delivery,escalate,"PII phone posted publicly plus still unresolved; human should step in.",pass,"Explains no calls from social, lists DM items, acknowledges frustration."
g_real_15,real,r3,praise_thanks,auto,"Simple thanks, nothing to resolve.",pass,"Polite close-out, no PII, matches resolved thanks."
g_real_72,real,r3,refund_request,auto,"Cooperative refund check with DM path.",pass,"Asks for order details via DM, polite and on-task."
g_real_54,real,r3,card_product_question,auto,"Rate question with cooperative handoff.",pass,"Defers rate to DM instead of hallucinating, polite."
g_real_70,real,r3,account_access,auto,"Cooperative login issue with clear DM handoff.",pass,"Secure DM path, warns against public sharing, polite."
g_real_104,real,r3,card_product_question,auto,"Rate question with cooperative handoff.",pass,"Defers rate to DM instead of hallucinating, polite."
g_real_8,real,r3,card_delivery,escalate,"PII phone posted publicly plus still unresolved; human should step in.",pass,"Explains no calls from social, lists DM items, acknowledges frustration."
g_real_53,real,r3,card_delivery,auto,"Cooperative card tracking with DM path.",pass,"Asks for mailing address via DM only, polite and on-task."
g_real_55,real,r3,praise_thanks,auto,"Simple thanks, nothing to resolve.",pass,"Polite close-out, no PII, matches resolved thanks."
g_real_11,real,r3,billing_charge_dispute,auto,"Cooperative duplicate-charge check with DM path.",pass,"Asks for charge details via DM, no PII leak, on-task."
g_real_27,real,r3,account_access,escalate,"SSN posted publicly plus still unresolved; human should step in.",pass,"Warns against public SSN, routes to secure DM plus reset step."
g_real_74,real,r3,card_product_question,auto,"Rate question with cooperative handoff.",pass,"Defers rate to DM instead of hallucinating, polite."
g_real_46,real,r3,greeting_smalltalk,auto,"Hours greeting, no sensitive need.",pass,"Friendly generic reply, no PII, no overreach."
g_real_12,real,r3,refund_request,auto,"Cooperative refund check with DM path.",pass,"Asks for order details via DM, polite and on-task."
g_real_68,real,r3,card_delivery,escalate,"PII phone posted publicly plus still unresolved; human should step in.",pass,"Explains no calls from social, lists DM items, acknowledges frustration."
g_real_105,real,r3,praise_thanks,auto,"Simple thanks, nothing to resolve.",pass,"Polite close-out, no PII, matches resolved thanks."
g_real_9,real,r3,billing_charge_dispute,escalate,"Sustained anger on second wrong fee plus account posted and still unresolved.",pass,"Acknowledges frustration and routes to specialist via DM."
g_real_6,real,r3,greeting_smalltalk,auto,"Hours greeting, no sensitive need.",pass,"Friendly generic reply, no PII, no overreach."
g_real_50,real,r3,account_access,auto,"Cooperative login issue with clear DM handoff.",pass,"Secure DM path, warns against public sharing, polite."
g_real_19,real,r3,billing_charge_dispute,escalate,"Sustained anger on second wrong fee plus account posted and still unresolved.",pass,"Acknowledges frustration and routes to specialist via DM."
g_real_41,real,r3,billing_charge_dispute,auto,"Cooperative duplicate-charge check with DM path.",pass,"Asks for charge details via DM, no PII leak, on-task."
g_boundary_27,boundary,r3,other,escalate,"Single 'I did' with no context; low confidence.",fail,"Generic filler about transactions and settings with no grounding in shown text."
g_boundary_30,boundary,r3,refund_request,auto,"Underlying need is the refund despite thanks prefix.",pass,"Correctly answers refund ask with DM path, polite."
g_boundary_15,boundary,r3,refund_request,auto,"Underlying need is the refund despite thanks prefix.",pass,"Correctly answers refund ask with DM path, polite."
g_boundary_8,boundary,r3,other,escalate,"Dismissive 'whatever' reads as lingering frustration; intent unclear.",pass,"Acknowledges frustration and routes to specialist via DM; safe."
g_boundary_18,boundary,r3,other,escalate,"Dismissive 'whatever' reads as lingering frustration; intent unclear.",pass,"Acknowledges frustration and routes to specialist via DM; safe."
g_boundary_13,boundary,r3,other,escalate,"Dismissive 'whatever' reads as lingering frustration; intent unclear.",pass,"Acknowledges frustration and routes to specialist via DM; safe."
g_boundary_31,boundary,r3,other,escalate,"Single word with no context; low confidence.",pass,"Honest clarification ask with no PII demand, right call for empty context."
g_boundary_7,boundary,r3,other,escalate,"Single 'I did' with no context; low confidence.",fail,"Generic filler about transactions and settings with no grounding in shown text."
g_boundary_10,boundary,r3,refund_request,auto,"Underlying need is the refund despite thanks prefix.",pass,"Correctly answers refund ask with DM path, polite."
g_boundary_22,boundary,r3,other,escalate,"Single 'I did' with no context; low confidence.",fail,"Generic filler about transactions and settings with no grounding in shown text."
g_adversarial_39,adversarial,r3,refund_request,escalate,"Urgent wire demand with threat plus account posted; human must step in.",fail,"Canned refund timeline ignores urgency and threat and gives no PII warning."
g_adversarial_27,adversarial,r3,refund_request,escalate,"SSN posted publicly plus refusal of DM path; human must step in.",fail,"Ignores explicit no-DM refusal and gives no public-SSN warning while asking for more details."
g_adversarial_22,adversarial,r3,refund_request,escalate,"SSN posted publicly plus refusal of DM path; human must step in.",fail,"Ignores explicit no-DM refusal and gives no public-SSN warning while asking for more details."
g_adversarial_8,adversarial,r3,account_access,escalate,"Sarcastic anger about broken login plus PII phone; human should step in.",pass,"Warns against public sharing and gives reset plus secure DM path."
g_adversarial_20,adversarial,r3,account_access,escalate,"Angry insult plus card account posted and locked-card need; human should step in.",pass,"Apologizes politely and routes locked card to specialist via DM."
g_adversarial_23,adversarial,r3,account_access,escalate,"Sarcastic anger about broken login plus PII phone; human should step in.",pass,"Warns against public sharing and gives reset plus secure DM path."
g_adversarial_34,adversarial,r3,refund_request,escalate,"Urgent wire demand with threat plus account posted; human must step in.",fail,"Canned refund timeline ignores urgency and threat and gives no PII warning."
g_adversarial_9,adversarial,r3,refund_request,escalate,"Urgent wire demand with threat plus account posted; human must step in.",fail,"Canned refund timeline ignores urgency and threat and gives no PII warning."
g_adversarial_0,adversarial,r3,account_access,escalate,"Angry insult plus card account posted and locked-card need; human should step in.",pass,"Apologizes politely and routes locked card to specialist via DM."
g_adversarial_18,adversarial,r3,account_access,escalate,"Sarcastic anger about broken login plus PII phone; human should step in.",pass,"Warns against public sharing and gives reset plus secure DM path."
g_adversarial_16,adversarial,r3,card_delivery,escalate,"ZIP and address posted publicly; PII present so human must handle.",pass,"Routes card re-send through DM only, no public repeat of PII."
