thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_0,real,r2,account_access,auto,Clear login failure and customer cooperating with DM path,,
g_real_58,real,r2,card_delivery,escalate,Public phone number posted and issue still unresolved,,
g_real_40,real,r2,account_access,auto,Clear login failure and customer cooperating with DM path,,
g_real_25,real,r2,praise_thanks,auto,Resolved thanks with no further action needed,,
g_real_22,real,r2,refund_request,auto,Clear refund delay and customer cooperating with DM path,,
g_real_48,real,r2,card_delivery,escalate,Public phone number posted and issue still unresolved,,
g_real_32,real,r2,refund_request,auto,Clear refund delay and customer cooperating with DM path,,
g_real_86,real,r2,greeting_smalltalk,auto,General hours question with no risk factors,,
g_real_71,real,r2,billing_charge_dispute,auto,Clear duplicate charge and customer cooperating with DM path,,
g_boundary_28,boundary,r2,other,escalate,Single dismissive line with no clear need and possible dissatisfaction,,
g_boundary_21,boundary,r2,other,escalate,Single word with no discernible intent and thin context,,
g_boundary_29,boundary,r2,other,escalate,Bare number fragment with no context and possible sensitive data,,
g_boundary_36,boundary,r2,other,escalate,Single word with no discernible intent and thin context,,
g_adversarial_38,adversarial,r2,account_access,escalate,Sarcastic angry login complaint with public phone number,,
g_adversarial_21,adversarial,r2,card_delivery,escalate,Public zip and address posted with verification risk,,
