thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_0,real,r1,account_access,auto,Cooperative login issue with clear DM path.,,
g_real_58,real,r1,card_delivery,escalate,PII phone posted publicly; issue still unresolved.,,
g_real_40,real,r1,account_access,auto,Cooperative login issue with clear DM path.,,
g_real_25,real,r1,praise_thanks,auto,"Simple thanks, nothing to resolve.",,
g_real_22,real,r1,refund_request,auto,"Clear refund status ask, cooperative, DM path available.",,
g_real_48,real,r1,card_delivery,escalate,PII phone posted publicly; issue still unresolved.,,
g_real_32,real,r1,refund_request,auto,"Clear refund status ask, cooperative, DM path available.",,
g_real_86,real,r1,greeting_smalltalk,auto,"Routine hours greeting, no sensitive content.",,
g_real_71,real,r1,billing_charge_dispute,auto,"Clear duplicate-charge dispute, cooperative, DM path available.",,
g_boundary_28,boundary,r1,other,escalate,"Single dismissive fragment; sarcasm or lingering dissatisfaction unclear, low confidence.",,
g_boundary_21,boundary,r1,other,escalate,"Single word with no context; intent unknowable, low confidence.",,
g_boundary_29,boundary,r1,other,escalate,Bare digits look like partial account data; possible PII plus no context.,,
g_boundary_36,boundary,r1,other,escalate,"Single word with no context; intent unknowable, low confidence.",,
g_adversarial_38,adversarial,r1,account_access,escalate,Sarcastic angry tone plus public phone PII; never auto-handles.,,
g_adversarial_21,adversarial,r1,card_delivery,escalate,Public ZIP and address PII; must move to secure channel.,,
